node1,node2,weight
23,20,0.55
171,198,0.6
198,171,0.6
7,171,0.7
125,171,0.55
29,171,0.55
113,171,0.55
104,171,0.55
45,171,0.6
1,171,0.6
198,29,0.55
198,60,0.6
171,125,0.55
171,113,0.55
171,104,0.55
171,1,0.6
171,7,0.7
171,45,0.6
198,150,0.55
61,20,0.9
2,20,0.75
77,20,0.65
7,20,0.7
17,20,0.6
1,20,0.6
198,132,0.55
23,113,0.7
23,108,0.55
23,32,0.55
23,17,0.55
23,19,0.55
23,7,0.75
23,69,0.55
198,7,0.65
198,2,0.9
198,144,0.6
135,167,0.55
178,194,0.55
141,134,0.75
7,134,0.65
150,41,0.55
172,60,0.55
41,60,0.55
78,60,0.55
77,60,0.7
100,60,0.6
194,60,0.55
87,60,0.55
164,60,0.75
150,198,0.55
32,23,0.55
7,23,0.7
108,23,0.55
1,23,0.8
113,23,0.6
104,23,1.0
19,23,0.75
17,23,0.55
150,149,0.55
134,1,0.55
132,113,0.65
132,138,0.55
134,101,0.55
134,110,0.55
134,7,0.65
134,132,0.55
134,141,0.75
132,157,0.6
132,198,0.6
2,23,0.75
77,23,0.55
69,23,0.55
132,72,0.65
132,104,0.55
132,75,0.55
132,162,0.55
177,1,0.7
37,77,0.55
64,104,1.0
189,104,0.6
199,104,0.55
96,104,0.6
110,104,0.55
60,104,0.6
1,104,0.55
2,77,0.6
41,132,0.55
139,132,0.55
78,132,0.65
127,132,0.55
75,132,0.55
72,132,0.6
104,132,0.55
162,132,0.55
60,77,0.7
125,77,0.6
2,60,0.75
159,60,0.6
88,60,0.7
56,60,0.6
108,60,0.55
104,60,0.65
21,77,0.75
41,148,0.55
41,162,0.55
41,36,0.6
41,157,0.55
41,75,0.55
41,174,0.55
41,83,0.55
41,104,0.55
115,77,0.65
132,149,0.55
132,28,0.55
132,139,0.55
132,159,0.55
132,144,0.55
61,77,0.7
60,172,0.55
112,77,0.55
132,134,0.55
101,134,0.55
1,134,0.65
110,134,0.55
